,key,Начало нагрева дугой,Конец нагрева дугой,Активная мощность,Реактивная мощность
0,1,2019-05-03 11:02:14,2019-05-03 11:06:02,0.9760587506,0.6870837212
1,1,2019-05-03 11:07:28,2019-05-03 11:10:33,0.8056070805,0.5202852488
2,1,2019-05-03 11:11:44,2019-05-03 11:14:36,0.7443634272,0.4988054037
3,1,2019-05-03 11:18:14,2019-05-03 11:24:19,1.6593625546000002,1.0626693964
4,1,2019-05-03 11:26:09,2019-05-03 11:28:37,0.6927547454999999,0.4143972397
5,2,2019-05-03 11:34:14,2019-05-03 11:36:31,0.4380633413,0.2830433546999999
6,2,2019-05-03 11:38:50,2019-05-03 11:44:28,1.2964150906,0.8929136693
7,2,2019-05-03 11:46:19,2019-05-03 11:48:25,0.4903765917,0.3052810431
8,2,2019-05-03 11:49:48,2019-05-03 11:53:18,0.8277430534,0.5168738365
9,3,2019-05-03 12:06:54,2019-05-03 12:11:34,1.0620529368,0.6714941859
10,3,2019-05-03 12:13:52,2019-05-03 12:15:56,0.4842056036,0.3120999932
11,3,2019-05-03 12:18:56,2019-05-03 12:20:45,0.4293545485,0.2717744708
12,3,2019-05-03 12:25:43,2019-05-03 12:27:00,0.2999892235,0.187805891
13,3,2019-05-03 12:31:14,2019-05-03 12:32:19,0.2502799034,0.1559014319999999
14,4,2019-05-03 12:39:37,2019-05-03 12:43:04,0.8753133873000001,0.6144043803
15,4,2019-05-03 12:44:47,2019-05-03 12:46:26,0.4256924391,0.2684823871
16,4,2019-05-03 12:48:14,2019-05-03 12:50:51,0.687289238,0.4226922393
17,4,2019-05-03 12:53:12,2019-05-03 12:57:50,1.2209550142,0.7547186613
18,5,2019-05-03 13:11:13,2019-05-03 13:15:24,0.9500256151,0.6905228496
19,5,2019-05-03 13:18:21,2019-05-03 13:20:33,0.5080259442,0.3323522806
20,5,2019-05-03 13:23:32,2019-05-03 13:30:27,1.6216646433000002,1.0477757454
21,5,2019-05-03 13:32:44,2019-05-03 13:33:55,0.2674565315,0.1819918156
22,6,2019-05-03 13:46:51,2019-05-03 13:48:34,0.334139881,0.2304383367
23,6,2019-05-03 13:50:39,2019-05-03 13:57:17,1.6530734599,1.236721009
24,6,2019-05-03 14:00:00,2019-05-03 14:02:56,0.770170331,0.4782530069
25,6,2019-05-03 14:04:49,2019-05-03 14:09:24,1.1977243423,0.7437630892
26,7,2019-05-03 14:16:46,2019-05-03 14:18:44,0.3870856338,0.2363905757999999
27,7,2019-05-03 14:21:06,2019-05-03 14:27:03,1.4067042172,0.8599436879000001
28,7,2019-05-03 14:28:53,2019-05-03 14:30:32,0.3748258352,0.2299623489
29,7,2019-05-03 14:39:36,2019-05-03 14:41:15,0.3787596225999999,0.2349982262
30,8,2019-05-03 14:53:56,2019-05-03 15:01:11,1.7144648737,1.3812338113999998
31,8,2019-05-03 15:03:50,2019-05-03 15:05:18,0.37543571,0.2443825006
32,8,2019-05-03 15:07:36,2019-05-03 15:12:59,1.3908343315,0.876786828
33,8,2019-05-03 15:13:40,2019-05-03 15:14:47,0.2820196152,0.1782946587
34,9,2019-05-03 15:33:42,2019-05-03 15:36:18,0.5093607588,0.4103988111
35,9,2019-05-03 15:39:26,2019-05-03 15:42:25,0.5885956286999999,0.4098989068999999
36,9,2019-05-03 15:46:06,2019-05-03 15:49:22,0.6729934216,0.4453780054999999
37,9,2019-05-03 15:56:10,2019-05-03 15:57:01,0.1695684194999999,0.1159607172
38,9,2019-05-03 15:59:05,2019-05-03 15:59:48,0.1414322853,0.0970343351
39,10,2019-05-03 16:11:08,2019-05-03 16:13:35,0.4702946387,0.3988704382999999
40,10,2019-05-03 16:14:58,2019-05-03 16:19:15,0.8449758589,0.8537384570000001
41,10,2019-05-03 16:21:38,2019-05-03 16:23:48,0.4757318497,0.399615407
42,10,2019-05-03 16:25:05,2019-05-03 16:26:40,0.3807930946,0.2725965977
43,10,2019-05-03 16:29:24,2019-05-03 16:31:08,0.3878097534,0.298764348
44,10,2019-05-03 16:33:18,2019-05-03 16:34:50,0.3640167713,0.2725305557
45,11,2019-05-03 16:49:14,2019-05-03 16:52:03,0.590658359,0.4315721393
46,11,2019-05-03 17:03:01,2019-05-03 17:05:01,0.4121974110999999,0.3263426423
47,11,2019-05-03 17:15:28,2019-05-03 17:16:21,0.1726613045,0.1280426979
48,11,2019-05-03 17:20:37,2019-05-03 17:24:16,0.8619185686,0.6273888946
49,11,2019-05-03 17:28:01,2019-05-03 17:29:07,0.2600762844,0.1949132680999999
50,12,2019-05-03 17:37:30,2019-05-03 17:39:34,0.4196435257,0.3386087715999999
51,12,2019-05-03 17:43:37,2019-05-03 17:49:39,1.2393378317,1.0883897841
52,12,2019-05-03 18:03:52,2019-05-03 18:06:20,0.5131109953,0.3831981421
53,12,2019-05-03 18:09:48,2019-05-03 18:11:33,0.4094250202,0.3222509623
54,13,2019-05-03 18:35:36,2019-05-03 18:37:45,0.4399507853,0.3465871215
55,13,2019-05-03 18:41:25,2019-05-03 18:45:19,0.903976202,0.7961373626999999
56,13,2019-05-03 18:46:57,2019-05-03 18:50:59,0.9655861855,0.7757505178
57,13,2019-05-03 18:53:18,2019-05-03 18:55:53,0.6391789913,0.4581377506
58,13,2019-05-03 18:57:40,2019-05-03 19:00:40,0.7484085559999999,0.5258278847
59,13,2019-05-03 19:04:29,2019-05-03 19:05:56,0.3547186852,0.2506196498999999
60,14,2019-05-03 19:56:07,2019-05-03 19:59:26,0.6691642654,0.5053158997999999
61,14,2019-05-03 20:04:09,2019-05-03 20:10:28,1.2933377624,1.0215147138
62,14,2019-05-03 20:16:02,2019-05-03 20:22:13,1.4376462698,1.0686626434
63,14,2019-05-03 20:29:01,2019-05-03 20:30:39,0.3830869198,0.2990939617
64,14,2019-05-03 20:32:07,2019-05-03 20:33:28,0.3148992062,0.2422063351
65,14,2019-05-03 20:35:22,2019-05-03 20:37:09,0.4120898247,0.3322250843
66,15,2019-05-03 20:53:55,2019-05-03 20:57:01,0.5914905474000001,0.4646392465
67,15,2019-05-03 21:01:03,2019-05-03 21:03:59,0.5728527308,0.4986748099
68,15,2019-05-03 21:08:33,2019-05-03 21:11:18,0.5495595932,0.4022198319
69,15,2019-05-03 21:11:52,2019-05-03 21:13:31,0.3204983473,0.2425298691
70,15,2019-05-03 21:29:02,2019-05-03 21:30:30,0.3168745041,0.2242583036
71,16,2019-05-03 21:59:05,2019-05-03 22:02:17,0.6162801083,0.5468226671
72,16,2019-05-03 22:05:39,2019-05-03 22:12:06,1.4627866149000002,1.2352761626
73,16,2019-05-03 22:22:22,2019-05-03 22:27:37,1.253390789,0.973434329
74,17,2019-05-03 22:38:42,2019-05-03 22:41:23,0.5446613235,0.4137029052
75,17,2019-05-03 22:44:37,2019-05-03 22:47:19,0.542858243,0.4076768756
76,17,2019-05-03 22:54:12,2019-05-03 22:56:14,0.4059132338,0.2862228751
77,17,2019-05-03 22:59:24,2019-05-03 23:02:24,0.7917250395000001,0.5608122349
78,17,2019-05-03 23:06:46,2019-05-03 23:08:15,0.391559124,0.2709556818
79,18,2019-05-03 23:18:30,2019-05-03 23:20:35,0.4156920189999999,0.3281805515
80,18,2019-05-03 23:28:42,2019-05-03 23:34:51,1.5801421999999998,1.0711171329
81,18,2019-05-03 23:49:27,2019-05-03 23:51:33,0.5438377857,0.3623614311
82,18,2019-05-03 23:54:51,2019-05-03 23:57:32,0.6959428787,0.455211997
83,18,2019-05-04 00:05:08,2019-05-04 00:06:09,0.2597358227,0.1703789234
84,19,2019-05-04 00:36:16,2019-05-04 00:38:45,0.5113709016,0.3199697435
85,19,2019-05-04 00:50:03,2019-05-04 00:51:25,0.3177859187,0.2143035531
86,19,2019-05-04 01:06:51,2019-05-04 01:08:21,0.3512521982,0.2279887198999999
87,20,2019-05-04 01:37:51,2019-05-04 01:39:59,0.4269806985,0.294428587
88,20,2019-05-04 01:44:25,2019-05-04 01:47:55,0.7619915009,0.5778707862
89,20,2019-05-04 01:51:43,2019-05-04 01:54:48,0.8288526534999999,0.5708393454999999
90,20,2019-05-04 01:55:26,2019-05-04 01:57:56,0.6810424328,0.462241888
91,20,2019-05-04 02:05:39,2019-05-04 02:06:41,0.2727298737,0.1960138082999999
92,21,2019-05-04 03:22:29,2019-05-04 03:24:39,0.4502415561999999,0.3352892697
93,21,2019-05-04 03:27:55,2019-05-04 03:31:48,0.9701076746,0.6240098476
94,21,2019-05-04 03:34:47,2019-05-04 03:44:45,2.6290829182,1.6915243268
95,21,2019-05-04 03:48:13,2019-05-04 03:50:21,0.5707125664,0.3759849072
96,21,2019-05-04 04:10:47,2019-05-04 04:12:46,0.542028904,0.3550103604999999
97,21,2019-05-04 04:13:21,2019-05-04 04:14:16,0.2410701512999999,0.1578720212
98,22,2019-05-04 03:56:43,2019-05-04 03:58:46,0.4147551106,0.3362684547999999
99,22,2019-05-04 04:01:28,2019-05-04 04:03:17,0.3910445571,0.2946481109
100,22,2019-05-04 04:23:37,2019-05-04 04:27:42,0.9845843266,0.7014363408
101,22,2019-05-04 04:31:36,2019-05-04 04:34:33,0.8028863072,0.5389288664
102,22,2019-05-04 04:35:27,2019-05-04 04:40:27,1.3603743315,0.9254068136
103,22,2019-05-04 04:41:53,2019-05-04 04:43:18,0.381264925,0.2437450886
104,23,2019-05-04 05:07:02,2019-05-04 05:09:36,0.5345320421,0.4316205084
105,23,2019-05-04 05:12:31,2019-05-04 05:14:55,0.4861273765999999,0.4019580781
106,23,2019-05-04 05:21:29,2019-05-04 05:23:46,0.4834164381,0.3221200705
107,23,2019-05-04 05:26:02,2019-05-04 05:28:22,0.5474028586999999,0.3570159674
108,23,2019-05-04 05:42:57,2019-05-04 05:45:17,0.6121857166,0.4021439552
109,24,2019-05-04 05:56:29,2019-05-04 05:59:29,0.6459120371,0.4642512202
110,24,2019-05-04 06:04:28,2019-05-04 06:09:51,1.3479030728,0.934976548
111,24,2019-05-04 06:12:56,2019-05-04 06:15:06,0.5928897858,0.3760040998
112,24,2019-05-04 06:39:52,2019-05-04 06:41:51,0.4116595835,0.2502502799
113,24,2019-05-04 06:45:57,2019-05-04 06:50:03,1.1147089899,0.6482939422
114,24,2019-05-04 06:55:11,2019-05-04 06:58:20,0.8464987278,0.4972917438
115,25,2019-05-04 06:22:49,2019-05-04 06:24:56,0.442119384,0.3546611667
116,25,2019-05-04 06:29:57,2019-05-04 06:34:11,1.0924681425,0.7137632668
117,25,2019-05-04 06:37:05,2019-05-04 06:42:27,1.4795447588,0.9932696819
118,25,2019-05-04 06:51:34,2019-05-04 06:53:55,0.6142697334,0.4081642628
119,25,2019-05-04 06:56:28,2019-05-04 06:58:15,0.4860498904999999,0.3326170444
120,25,2019-05-04 07:01:38,2019-05-04 07:03:01,0.3748369217,0.2591223717
121,26,2019-05-04 07:08:15,2019-05-04 07:10:32,0.4800791288,0.3432249427
122,26,2019-05-04 07:22:56,2019-05-04 07:25:09,0.5495169461,0.3816179931
123,26,2019-05-04 07:33:20,2019-05-04 07:36:11,0.7366954088,0.4696117043
124,27,2019-05-04 07:45:39,2019-05-04 07:51:29,1.2523784377,0.9246851206
125,27,2019-05-04 08:01:04,2019-05-04 08:01:49,0.1808805466,0.1099018455
126,27,2019-05-04 08:02:33,2019-05-04 08:07:31,1.2851560116,0.7787066698
127,27,2019-05-04 08:09:17,2019-05-04 08:10:32,0.3229722977,0.1968649626
128,28,2019-05-04 08:25:05,2019-05-04 08:27:01,0.4015509021,0.2524072662
129,28,2019-05-04 08:29:00,2019-05-04 08:34:13,1.2259602249,0.7980452776000001
130,28,2019-05-04 08:36:06,2019-05-04 08:39:45,0.8134313822,0.5109831095
131,28,2019-05-04 08:41:38,2019-05-04 08:44:35,0.6771144867000001,0.4229989052
132,29,2019-05-04 09:02:12,2019-05-04 09:04:07,0.383682554,0.2580952048
133,29,2019-05-04 09:08:22,2019-05-04 09:11:24,0.6398397088000001,0.5041382909000001
134,29,2019-05-04 09:18:32,2019-05-04 09:19:35,0.2404088974,0.1595827341
135,29,2019-05-04 09:20:19,2019-05-04 09:21:26,0.2590947151,0.1619502901999999
136,30,2019-05-04 09:31:30,2019-05-04 09:33:20,0.3596726025,0.2477902323
137,30,2019-05-04 09:37:22,2019-05-04 09:44:41,1.9184441268,1.2526072413
138,30,2019-05-04 09:46:58,2019-05-04 09:52:00,1.3393440247,0.8128321170999999
139,30,2019-05-04 09:59:47,2019-05-04 10:00:36,0.194051981,0.1183269024
140,31,2019-05-04 10:17:30,2019-05-04 10:20:28,0.5683043309,0.4759280086
141,31,2019-05-04 10:23:47,2019-05-04 10:27:19,0.6886695623000001,0.6225854754
142,31,2019-05-04 10:30:59,2019-05-04 10:32:03,0.2418713569999999,0.1583640575
143,31,2019-05-04 10:34:38,2019-05-04 10:36:35,0.4443660975,0.3235794306
144,32,2019-05-04 11:40:45,2019-05-04 11:43:53,0.5605803304,0.5824627876
145,32,2019-05-04 11:46:30,2019-05-04 11:55:19,2.0849043727,1.4927659035
146,32,2019-05-04 12:13:29,2019-05-04 12:16:05,0.6913940906999999,0.4157452583
147,32,2019-05-04 12:26:54,2019-05-04 12:29:03,0.5536925793,0.3401384354
148,33,2019-05-04 12:39:43,2019-05-04 12:42:12,0.4870737714,0.3726601303
149,33,2019-05-04 12:46:49,2019-05-04 12:53:14,1.5530803502,1.1511232555
150,33,2019-05-04 12:55:30,2019-05-04 13:01:15,1.5464119911,0.9287364483
151,33,2019-05-04 13:02:18,2019-05-04 13:04:29,0.577495575,0.3558743
152,33,2019-05-04 13:08:31,2019-05-04 13:10:22,0.4858269690999999,0.2927391528999999
153,33,2019-05-04 13:18:32,2019-05-04 13:21:01,0.6235046387,0.4143722057
154,33,2019-05-04 13:22:29,2019-05-04 13:23:33,0.2730946541,0.1630516052
155,34,2019-05-04 13:33:33,2019-05-04 13:38:43,1.1342117446,0.8497656584000001
156,34,2019-05-04 13:40:44,2019-05-04 13:43:19,0.6652398109000001,0.4265807867
157,34,2019-05-04 13:45:00,2019-05-04 13:49:12,1.115162611,0.6835219859999999
158,35,2019-05-04 14:05:15,2019-05-04 14:09:07,1.0140802656,0.6489512324
159,35,2019-05-04 14:11:07,2019-05-04 14:13:11,0.545784235,0.3313705325
160,35,2019-05-04 14:15:43,2019-05-04 14:21:17,1.4805737734,0.897840023
161,36,2019-05-04 14:41:56,2019-05-04 14:45:22,0.874162195,0.6028332114
162,36,2019-05-04 14:47:51,2019-05-04 14:50:35,0.7454599738,0.3882173896
163,36,2019-05-04 14:52:11,2019-05-04 14:58:15,1.6798343658,0.8615281582
164,36,2019-05-04 14:58:52,2019-05-04 15:01:18,0.6757645606999999,0.3567825556
165,36,2019-05-04 15:02:59,2019-05-04 15:06:51,1.0313332081,0.6078691482999999
166,37,2019-05-04 15:14:26,2019-05-04 15:17:47,0.7540004675,0.5715081692
167,37,2019-05-04 15:28:41,2019-05-04 15:31:10,0.5930070877,0.3616631031
168,37,2019-05-04 15:36:33,2019-05-04 15:39:23,0.6192220449,0.4671590924
169,37,2019-05-04 15:40:03,2019-05-04 15:42:23,0.5433202982,0.3673983811999999
170,37,2019-05-04 15:47:01,2019-05-04 15:48:23,0.3082485198999999,0.2364350557
171,38,2019-05-04 16:03:36,2019-05-04 16:06:03,0.5009354835000001,0.3218097389
172,38,2019-05-04 16:10:10,2019-05-04 16:14:43,0.9032177925,0.6993508934999999
173,38,2019-05-04 16:21:43,2019-05-04 16:24:53,0.7038872242,0.4398807286999999
174,38,2019-05-04 16:26:47,2019-05-04 16:27:24,0.1469922066,0.0992577076
175,39,2019-05-04 16:43:47,2019-05-04 16:46:13,0.5221829181000001,0.3573269546
176,39,2019-05-04 16:49:04,2019-05-04 16:52:39,0.8330342173999999,0.5501931608
177,39,2019-05-04 16:55:48,2019-05-04 16:59:13,0.7861756086,0.4881896377
178,39,2019-05-04 17:06:02,2019-05-04 17:08:34,0.6055715084000001,0.3812544346
179,40,2019-05-04 18:03:59,2019-05-04 18:06:26,0.5289898171,0.3756506443
180,40,2019-05-04 18:11:49,2019-05-04 18:15:04,0.749183774,0.5687160492000001
181,40,2019-05-04 18:16:27,2019-05-04 18:20:49,1.0691820383,0.7513627409999999
182,40,2019-05-04 18:24:10,2019-05-04 18:26:12,0.4867451190999999,0.356806159
183,40,2019-05-04 18:29:35,2019-05-04 18:30:57,0.3271920681,0.2338452339
184,43,2019-05-04 20:15:41,2019-05-04 20:18:10,0.5300499363000001,0.3893641828999999
185,43,2019-05-04 20:21:20,2019-05-04 20:24:59,0.8156167269,0.5788984895
186,43,2019-05-04 20:33:26,2019-05-04 20:36:05,0.6111457348,0.4024161696
187,43,2019-05-04 20:41:46,2019-05-04 20:44:31,0.6426090002,0.4103277922
188,43,2019-05-04 20:45:52,2019-05-04 20:47:35,0.4020423889,0.2778722048
189,43,2019-05-04 20:48:34,2019-05-04 20:49:31,0.2235810757,0.1614279747
190,44,2019-05-04 22:09:23,2019-05-04 22:11:49,0.5144906789,0.4063110054
191,44,2019-05-04 22:14:17,2019-05-04 22:17:39,0.6918125748999999,0.554530859
192,44,2019-05-04 22:19:54,2019-05-04 22:24:09,0.9273645878,0.6549552083
193,44,2019-05-04 22:30:57,2019-05-04 22:31:39,0.1558656693,0.1125000715
194,44,2019-05-04 22:32:45,2019-05-04 22:34:57,0.50101161,0.3397085667
195,44,2019-05-04 22:44:58,2019-05-04 22:46:04,0.2530214787,0.163589716
196,44,2019-05-04 22:47:31,2019-05-04 22:49:34,0.4895014763,0.3524971007999999
197,44,2019-05-05 00:32:02,2019-05-05 00:34:36,0.53789229,0.4269783199
198,44,2019-05-05 00:36:13,2019-05-05 00:46:45,2.3433725238,1.9218170047
199,44,2019-05-05 00:49:21,2019-05-05 00:52:55,0.8326621056,0.6378333569
200,44,2019-05-05 01:04:04,2019-05-05 01:04:31,0.0982062817,0.0797576904
201,44,2019-05-05 01:10:03,2019-05-05 01:11:13,0.2674155235,0.2115015984
202,45,2019-05-04 23:02:37,2019-05-04 23:05:52,0.6677370096999999,0.5547809601
203,45,2019-05-04 23:08:55,2019-05-04 23:15:53,1.7657498717,1.2963869572
204,45,2019-05-04 23:18:43,2019-05-04 23:21:48,0.8249104023,0.5615004301
205,45,2019-05-04 23:22:53,2019-05-04 23:26:00,0.8371248245,0.5660567284
206,45,2019-05-04 23:27:47,2019-05-04 23:30:13,0.6501727104,0.4554944038
207,45,2019-05-04 23:32:14,2019-05-04 23:37:01,1.257519722,0.9702279568
208,45,2019-05-04 23:38:17,2019-05-04 23:40:21,0.5563178061999999,0.3681464195
209,45,2019-05-05 00:09:50,2019-05-05 00:14:57,1.3360493046,0.9418177605
210,45,2019-05-05 00:15:58,2019-05-05 00:19:00,0.8234491348,0.5438883305
211,45,2019-05-05 00:21:20,2019-05-05 00:23:05,0.4654328822999999,0.3052334785
