,key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
0,1,,,,2019-05-03 11:21:30,,,,,,,,2019-05-03 11:03:52,,2019-05-03 11:03:52,2019-05-03 11:03:52
1,2,,,,2019-05-03 11:46:38,,,,,,,,2019-05-03 11:40:20,,2019-05-03 11:40:20,2019-05-03 11:40:20
2,3,,,,2019-05-03 12:31:06,,,,,,,,2019-05-03 12:09:40,,2019-05-03 12:09:40,2019-05-03 12:09:40
3,4,,,,2019-05-03 12:48:43,,,,,,,,2019-05-03 12:41:24,,2019-05-03 12:41:24,2019-05-03 12:41:24
4,5,,,,2019-05-03 13:18:50,,,,,,,,2019-05-03 13:12:56,,2019-05-03 13:12:56,2019-05-03 13:12:56
5,6,,,,2019-05-03 13:59:24,,,,,,,,2019-05-03 13:53:27,,2019-05-03 13:53:27,2019-05-03 13:53:27
6,7,,,,2019-05-03 14:29:14,,,,,,,,2019-05-03 14:22:19,,2019-05-03 14:22:19,2019-05-03 14:22:19
7,8,,,,2019-05-03 15:04:05,,,,,,,,2019-05-03 14:55:46,,2019-05-03 14:55:46,2019-05-03 14:55:46
8,9,,,,2019-05-03 15:47:34,,,,,,,,2019-05-03 15:41:00,,2019-05-03 15:41:00,2019-05-03 15:41:00
9,10,,,,,,,,,,,,2019-05-03 16:18:52,,2019-05-03 16:18:52,2019-05-03 16:18:52
10,11,,,,2019-05-03 17:16:34,,,,,,,,2019-05-03 17:03:52,,2019-05-03 17:03:52,2019-05-03 17:03:52
11,12,2019-05-03 17:50:19,,,2019-05-03 18:03:59,,,,,,,,2019-05-03 17:45:21,,2019-05-03 17:45:21,2019-05-03 17:45:21
12,13,,,,,,2019-05-03 18:52:57,,,,,,2019-05-03 18:43:48,,2019-05-03 18:43:48,2019-05-03 18:43:48
13,14,,,2019-05-03 20:13:36,,,,,,,,,2019-05-03 20:05:47,,2019-05-03 20:05:47,2019-05-03 20:05:47
14,15,,,,,,2019-05-03 21:15:20,,,,,,,,2019-05-03 21:03:07,2019-05-03 21:03:07
15,16,,,,,,,,,,,,2019-05-03 22:07:39,,2019-05-03 22:07:39,2019-05-03 22:07:39
16,17,,,,,,,,,,,,,,2019-05-03 22:46:31,2019-05-03 22:46:31
17,18,,,,,,2019-05-03 23:53:11,,,,,,2019-05-03 23:29:10,,2019-05-03 23:29:10,2019-05-03 23:29:10
18,19,,,,,,2019-05-04 00:53:02,,,,,,,,,
19,20,,,,,,,,,,,,,,2019-05-04 01:44:28,
20,21,,,2019-05-04 03:47:10,,,,,,,,,2019-05-04 03:28:30,,2019-05-04 03:28:30,2019-05-04 03:28:30
21,22,,,2019-05-04 04:29:57,,,,,,,,,,,2019-05-04 04:24:59,
22,23,,,,,,,,,,,,2019-05-04 05:26:16,,2019-05-04 05:12:40,2019-05-04 05:26:16
23,24,,,2019-05-04 06:44:51,,,2019-05-04 06:44:51,,,,,,2019-05-04 06:04:41,,2019-05-04 06:04:41,2019-05-04 06:04:41
24,25,,,2019-05-04 06:35:56,,,,,,,,,2019-05-04 06:29:52,,2019-05-04 06:29:52,2019-05-04 06:29:52
25,26,,,2019-05-04 07:28:33,,,,,,,,,,,,
26,27,,,,,,,,,,,,2019-05-04 07:50:10,,2019-05-04 07:50:10,2019-05-04 07:50:10
27,28,,,,,,,,,,,,2019-05-04 08:30:00,,2019-05-04 08:30:00,
28,29,,,2019-05-04 09:19:45,,,,,,,,,2019-05-04 09:10:05,,2019-05-04 09:10:05,2019-05-04 09:10:05
29,30,,,2019-05-04 09:59:18,,,,,,,,,2019-05-04 09:38:29,,2019-05-04 09:38:29,2019-05-04 09:38:29
30,31,,,,,,,,,,,,2019-05-04 10:25:44,,2019-05-04 10:25:44,2019-05-04 10:25:44
31,32,,,,,,,,,,,,2019-05-04 11:47:40,,2019-05-04 11:47:40,2019-05-04 11:47:40
