,key,Время замера,Температура
0,1,2019-05-03 11:16:18,1571.0
1,1,2019-05-03 11:25:53,1604.0
2,1,2019-05-03 11:29:11,1618.0
3,1,2019-05-03 11:30:01,1601.0
4,1,2019-05-03 11:30:39,1613.0
5,2,2019-05-03 11:37:27,1581.0
6,2,2019-05-03 11:38:00,1577.0
7,2,2019-05-03 11:49:38,1589.0
8,2,2019-05-03 11:55:50,1604.0
9,2,2019-05-03 11:58:24,1608.0
10,2,2019-05-03 11:59:12,1602.0
11,3,2019-05-03 12:13:17,1596.0
12,3,2019-05-03 12:18:36,1597.0
13,3,2019-05-03 12:25:06,1598.0
14,3,2019-05-03 12:30:48,1599.0
15,3,2019-05-03 12:34:57,1599.0
16,4,2019-05-03 12:52:57,1601.0
17,4,2019-05-03 12:58:43,1623.0
18,4,2019-05-03 12:59:25,1625.0
19,5,2019-05-03 13:23:19,1576.0
20,5,2019-05-03 13:36:01,1602.0
21,6,2019-05-03 13:49:24,1543.0
22,6,2019-05-03 14:04:31,1581.0
23,6,2019-05-03 14:11:11,1600.0
24,6,2019-05-03 14:11:50,1600.0
25,6,2019-05-03 14:12:29,1596.0
26,7,2019-05-03 14:19:43,1586.0
27,7,2019-05-03 14:20:19,1582.0
28,7,2019-05-03 14:32:07,1599.0
29,7,2019-05-03 14:38:48,1595.0
30,7,2019-05-03 14:42:37,1599.0
31,8,2019-05-03 15:07:18,1577.0
32,8,2019-05-03 15:17:09,1604.0
33,8,2019-05-03 15:20:42,1600.0
34,8,2019-05-03 15:22:52,1598.0
35,9,2019-05-03 15:37:03,1587.0
36,9,2019-05-03 15:45:37,1589.0
37,9,2019-05-03 15:51:15,1597.0
38,9,2019-05-03 15:58:39,1589.0
39,9,2019-05-03 16:01:16,1592.0
40,10,2019-05-03 16:14:29,1574.0
41,10,2019-05-03 16:21:26,1580.0
42,10,2019-05-03 16:28:18,1585.0
43,10,2019-05-03 16:29:05,1586.0
44,10,2019-05-03 16:32:37,1586.0
45,10,2019-05-03 16:33:05,1586.0
46,10,2019-05-03 16:35:26,1588.0
47,10,2019-05-03 16:36:08,1593.0
48,11,2019-05-03 16:54:18,1616.0
49,11,2019-05-03 16:57:03,1608.0
50,11,2019-05-03 17:20:27,1583.0
51,11,2019-05-03 17:27:23,1597.0
52,12,2019-05-03 17:40:54,1606.0
53,12,2019-05-03 17:52:25,1606.0
54,12,2019-05-03 18:03:34,1585.0
55,12,2019-05-03 18:09:10,1588.0
56,12,2019-05-03 18:09:40,1584.0
57,12,2019-05-03 18:12:30,1595.0
58,12,2019-05-03 18:13:03,1591.0
59,13,2019-05-03 18:38:59,1596.0
60,13,2019-05-03 18:53:08,1602.0
61,13,2019-05-03 18:57:31,1610.0
62,13,2019-05-03 19:03:09,1613.0
63,13,2019-05-03 19:03:39,1621.0
64,13,2019-05-03 19:04:18,1615.0
65,13,2019-05-03 19:06:15,1619.0
66,14,2019-05-03 20:00:42,1583.0
67,14,2019-05-03 20:15:49,1581.0
68,14,2019-05-03 20:24:33,1602.0
69,14,2019-05-03 20:31:54,1596.0
70,14,2019-05-03 20:34:10,1600.0
71,14,2019-05-03 20:38:22,1606.0
72,15,2019-05-03 20:58:40,1605.0
73,15,2019-05-03 20:59:18,1607.0
74,15,2019-05-03 21:16:15,1611.0
75,15,2019-05-03 21:23:23,1613.0
76,15,2019-05-03 21:23:54,1599.0
77,15,2019-05-03 21:33:01,1598.0
78,16,2019-05-03 22:03:47,1581.0
79,16,2019-05-03 22:19:18,1590.0
80,16,2019-05-03 22:30:45,1609.0
81,16,2019-05-03 22:31:25,1607.0
82,17,2019-05-03 22:42:34,1611.0
83,17,2019-05-03 22:51:16,1611.0
84,17,2019-05-03 22:51:45,1596.0
85,17,2019-05-03 22:58:34,1591.0
86,17,2019-05-03 23:06:31,1599.0
87,17,2019-05-03 23:10:16,1599.0
88,18,2019-05-03 23:22:18,1588.0
89,18,2019-05-03 23:36:18,1600.0
90,18,2019-05-03 23:42:51,1593.0
91,18,2019-05-03 23:54:33,1592.0
92,18,2019-05-03 23:59:48,1604.0
93,18,2019-05-04 00:04:12,1598.0
94,18,2019-05-04 00:08:29,1595.0
95,19,2019-05-04 00:39:51,1625.0
96,19,2019-05-04 00:43:16,1616.0
97,19,2019-05-04 00:54:57,1610.0
98,19,2019-05-04 01:10:27,1605.0
99,19,2019-05-04 01:15:13,1603.0
100,19,2019-05-04 01:17:53,1598.0
101,19,2019-05-04 01:18:34,1604.0
102,19,2019-05-04 01:19:06,1597.0
103,20,2019-05-04 01:41:53,1582.0
104,20,2019-05-04 01:51:27,1584.0
105,20,2019-05-04 01:59:33,1608.0
106,20,2019-05-04 02:05:22,1597.0
107,20,2019-05-04 02:07:18,1603.0
108,21,2019-05-04 03:25:47,1603.0
109,21,2019-05-04 03:26:23,1579.0
110,21,2019-05-04 03:33:13,1581.0
111,21,2019-05-04 03:46:00,1626.0
112,21,2019-05-04 03:51:04,1617.0
113,21,2019-05-04 03:52:22,1615.0
114,21,2019-05-04 04:10:40,1609.0
115,21,2019-05-04 04:15:17,1623.0
116,21,2019-05-04 04:19:16,1618.0
117,22,2019-05-04 03:59:46,1560.0
118,22,2019-05-04 04:29:49,1563.0
119,22,2019-05-04 04:41:06,1594.0
120,22,2019-05-04 04:48:27,1598.0
121,22,2019-05-04 04:49:05,1597.0
122,22,2019-05-04 04:50:36,1593.0
123,23,2019-05-04 05:10:44,1611.0
124,23,2019-05-04 05:21:12,1595.0
125,23,2019-05-04 05:29:28,1612.0
126,23,2019-05-04 05:34:54,1607.0
127,23,2019-05-04 05:41:12,1590.0
128,23,2019-05-04 05:52:42,1593.0
129,24,2019-05-04 06:03:13,1578.0
130,24,2019-05-04 06:12:44,1584.0
131,24,2019-05-04 06:16:14,1594.0
132,24,2019-05-04 06:45:11,1566.0
133,24,2019-05-04 06:54:44,1572.0
134,24,2019-05-04 06:59:55,1585.0
135,25,2019-05-04 06:25:39,1594.0
136,25,2019-05-04 06:26:03,1579.0
137,25,2019-05-04 06:26:50,1576.0
138,25,2019-05-04 06:36:47,1575.0
139,25,2019-05-04 06:43:52,1596.0
140,25,2019-05-04 06:55:59,1594.0
141,25,2019-05-04 07:00:46,1595.0
142,25,2019-05-04 07:04:18,1600.0
143,26,2019-05-04 07:12:43,1609.0
144,26,2019-05-04 07:20:30,1587.0
145,26,2019-05-04 07:33:10,1592.0
146,26,2019-05-04 07:36:59,1591.0
147,26,2019-05-04 07:37:40,1601.0
148,27,2019-05-04 08:00:47,1578.0
149,27,2019-05-04 08:12:05,1591.0
150,27,2019-05-04 08:13:02,1604.0
151,28,2019-05-04 08:28:05,1580.0
152,28,2019-05-04 08:41:21,1603.0
153,28,2019-05-04 08:49:30,1603.0
154,28,2019-05-04 08:49:53,1603.0
155,28,2019-05-04 08:51:57,1611.0
156,28,2019-05-04 08:53:52,1614.0
157,28,2019-05-04 08:55:00,1609.0
158,29,2019-05-04 09:05:43,1613.0
159,29,2019-05-04 09:12:43,1605.0
160,29,2019-05-04 09:20:04,1600.0
161,29,2019-05-04 09:23:52,1600.0
162,30,2019-05-04 09:35:25,1567.0
163,30,2019-05-04 09:35:57,1567.0
164,30,2019-05-04 09:36:32,1562.0
165,30,2019-05-04 09:46:48,1587.0
166,30,2019-05-04 09:58:56,1605.0
167,30,2019-05-04 10:02:30,1606.0
168,30,2019-05-04 10:09:14,1606.0
169,30,2019-05-04 10:09:50,1598.0
170,31,2019-05-04 10:21:12,1601.0
171,31,2019-05-04 10:34:22,1598.0
172,31,2019-05-04 10:39:20,1602.0
173,32,2019-05-04 11:44:36,1602.0
174,32,2019-05-04 11:45:12,1626.0
175,32,2019-05-04 12:13:12,1611.0
176,32,2019-05-04 12:21:56,1619.0
177,32,2019-05-04 12:26:07,1608.0
178,32,2019-05-04 12:26:45,1607.0
179,32,2019-05-04 12:29:22,1613.0
180,33,2019-05-04 12:43:33,1564.0
181,33,2019-05-04 12:44:08,1563.0
182,33,2019-05-04 12:55:07,1576.0
183,33,2019-05-04 13:07:45,1617.0
184,33,2019-05-04 13:18:11,1607.0
185,33,2019-05-04 13:21:28,1613.0
186,33,2019-05-04 13:22:18,1614.0
187,33,2019-05-04 13:23:52,1614.0
188,33,2019-05-04 13:24:26,1614.0
189,33,2019-05-04 13:25:03,1636.0
190,33,2019-05-04 13:25:45,1617.0
191,34,2019-05-04 13:44:45,1584.0
192,34,2019-05-04 13:51:47,1607.0
193,34,2019-05-04 13:55:25,1600.0
194,35,2019-05-04 14:14:42,1585.0
195,35,2019-05-04 14:26:13,1600.0
196,36,2019-05-04 14:52:00,1543.0
197,36,2019-05-04 15:02:45,1586.0
198,36,2019-05-04 15:07:57,1601.0
199,37,2019-05-04 15:21:08,1596.0
200,37,2019-05-04 15:34:05,1593.0
201,37,2019-05-04 15:45:29,1609.0
202,37,2019-05-04 15:46:07,1601.0
203,37,2019-05-04 15:46:50,1601.0
204,37,2019-05-04 15:49:08,1606.0
205,38,2019-05-04 16:07:11,1593.0
206,38,2019-05-04 16:21:28,1581.0
207,38,2019-05-04 16:26:37,1602.0
208,39,2019-05-04 16:47:11,1586.0
209,39,2019-05-04 16:47:53,1588.0
210,39,2019-05-04 16:55:05,1596.0
211,39,2019-05-04 17:01:49,1594.0
212,39,2019-05-04 17:05:52,1594.0
213,39,2019-05-04 17:09:28,1602.0
214,40,2019-05-04 18:09:27,1587.0
215,40,2019-05-04 18:16:12,1588.0
216,40,2019-05-04 18:24:01,1596.0
217,40,2019-05-04 18:28:59,1601.0
218,40,2019-05-04 18:31:50,1603.0
219,43,2019-05-04 20:19:45,1608.0
220,43,2019-05-04 20:26:52,1607.0
221,43,2019-05-04 20:41:31,1597.0
222,43,2019-05-04 20:45:13,1602.0
223,43,2019-05-04 20:45:41,1600.0
224,43,2019-05-04 20:48:10,1602.0
225,44,2019-05-04 22:13:44,1600.0
226,44,2019-05-04 22:32:26,1608.0
227,44,2019-05-04 22:39:37,1619.0
228,44,2019-05-04 22:43:49,1600.0
229,44,2019-05-04 22:44:29,1605.0
230,44,2019-05-04 22:46:49,1601.0
231,44,2019-05-04 22:47:20,1601.0
232,44,2019-05-04 22:50:26,1607.0
233,44,2019-05-05 00:35:31,1570.0
234,44,2019-05-05 00:48:32,1599.0
235,44,2019-05-05 01:01:00,1610.0
236,44,2019-05-05 01:07:12,1608.0
237,44,2019-05-05 01:09:04,1602.0
238,44,2019-05-05 01:09:46,1602.0
239,44,2019-05-05 01:12:22,1602.0
240,44,2019-05-05 01:13:17,1603.0
241,45,2019-05-04 23:06:36,1538.0
242,45,2019-05-04 23:18:03,1538.0
243,45,2019-05-04 23:18:31,1556.0
244,45,2019-05-04 23:26:28,1556.0
245,45,2019-05-04 23:26:55,1577.0
246,45,2019-05-04 23:37:50,1601.0
247,45,2019-05-04 23:42:33,1601.0
248,45,2019-05-04 23:43:01,1608.0
249,45,2019-05-05 00:15:44,1609.0
250,45,2019-05-05 00:21:04,1616.0
251,45,2019-05-05 00:25:23,1629.0
252,45,2019-05-05 00:26:13,1621.0
253,46,2019-05-04 23:54:43,1607.0
254,46,2019-05-04 23:55:12,1538.0
255,46,2019-05-05 00:42:24,1542.0
256,46,2019-05-05 00:59:40,1580.0
257,46,2019-05-05 01:01:35,1571.0
258,46,2019-05-05 02:32:12,1589.0
259,46,2019-05-05 02:38:31,1593.0
260,46,2019-05-05 02:47:25,1616.0
261,46,2019-05-05 02:51:59,1610.0
262,46,2019-05-05 02:57:37,1610.0
263,46,2019-05-05 02:57:41,1610.0
264,46,2019-05-05 02:58:08,1617.0
265,46,2019-05-05 03:00:22,1614.0
266,46,2019-05-05 03:11:12,1617.0
267,46,2019-05-05 03:13:05,1610.0
268,46,2019-05-05 03:14:53,1612.0
269,47,2019-05-05 01:17:00,1565.0
270,47,2019-05-05 01:24:18,1577.0
271,47,2019-05-05 01:29:27,1588.0
272,48,2019-05-05 01:43:19,1573.0
273,48,2019-05-05 01:54:28,1583.0
274,48,2019-05-05 02:00:35,1590.0
275,48,2019-05-05 02:04:53,1590.0
276,48,2019-05-05 02:07:12,1560.0
277,48,2019-05-05 02:07:59,1593.0
278,48,2019-05-05 02:08:32,1590.0
279,48,2019-05-05 02:09:13,1589.0
280,49,2019-05-05 03:50:08,1626.0
281,49,2019-05-05 04:01:26,1611.0
282,49,2019-05-05 04:04:42,1609.0
283,49,2019-05-05 04:09:33,1604.0
284,49,2019-05-05 04:17:03,1599.0
285,49,2019-05-05 04:23:28,1593.0
286,49,2019-05-05 04:26:40,1596.0
287,49,2019-05-05 04:27:11,1588.0
288,50,2019-05-05 04:50:33,1603.0
289,50,2019-05-05 05:03:18,1588.0
290,50,2019-05-05 05:12:36,1602.0
291,50,2019-05-05 05:17:48,1608.0
292,50,2019-05-05 05:21:28,1606.0
293,51,2019-05-05 05:48:48,1619.0
294,51,2019-05-05 06:01:18,1660.0
295,51,2019-05-05 06:10:21,1690.0
296,52,2019-05-05 06:21:58,1617.0
297,52,2019-05-05 06:33:31,1652.0
298,52,2019-05-05 06:39:38,1666.0
299,52,2019-05-05 06:47:26,1667.0
300,52,2019-05-05 06:50:45,1669.0
301,52,2019-05-05 06:52:10,1668.0
302,52,2019-05-05 06:54:08,1669.0
303,53,2019-05-05 07:04:58,1642.0
304,53,2019-05-05 07:16:31,1658.0
305,53,2019-05-05 07:22:07,1671.0
306,53,2019-05-05 07:25:37,1671.0
307,53,2019-05-05 07:26:24,1665.0
308,53,2019-05-05 07:34:49,1674.0
309,53,2019-05-05 07:37:32,1676.0
310,53,2019-05-05 07:38:14,1671.0
311,54,2019-05-05 07:49:38,1630.0
312,54,2019-05-05 07:59:20,1654.0
313,54,2019-05-05 08:09:59,1655.0
314,54,2019-05-05 08:10:36,1658.0
315,54,2019-05-05 08:18:57,1663.0
316,55,2019-05-05 08:27:17,1615.0
317,55,2019-05-05 08:36:59,1635.0
318,55,2019-05-05 08:48:47,1656.0
319,55,2019-05-05 08:57:46,1654.0
320,56,2019-05-05 09:08:57,1606.0
321,56,2019-05-05 09:16:48,1631.0
322,56,2019-05-05 09:25:07,1653.0
323,56,2019-05-05 09:36:53,1648.0
324,56,2019-05-05 09:37:35,1659.0
325,56,2019-05-05 09:38:10,1641.0
326,56,2019-05-05 09:38:45,1655.0
327,56,2019-05-05 09:39:23,1645.0
328,56,2019-05-05 09:42:53,1659.0
329,56,2019-05-05 09:43:43,1642.0
330,56,2019-05-05 09:44:10,1675.0
331,56,2019-05-05 09:46:53,1652.0
332,57,2019-05-05 09:59:16,1581.0
333,57,2019-05-05 10:16:47,1581.0
334,57,2019-05-05 10:17:18,1588.0
335,57,2019-05-05 10:25:58,1607.0
336,57,2019-05-05 10:26:34,1595.0
337,57,2019-05-05 10:27:07,1598.0
338,57,2019-05-05 10:36:57,1597.0
339,57,2019-05-05 10:37:37,1604.0
340,57,2019-05-05 10:42:02,1595.0
341,58,2019-05-05 10:50:28,1569.0
342,58,2019-05-05 11:05:23,1579.0
343,58,2019-05-05 11:14:39,1583.0
344,58,2019-05-05 11:20:15,1589.0
345,58,2019-05-05 11:21:00,1575.0
346,58,2019-05-05 11:26:18,1574.0
347,59,2019-05-05 11:48:06,1589.0
348,59,2019-05-05 11:59:50,1599.0
349,59,2019-05-05 12:08:01,1594.0
350,59,2019-05-05 12:10:24,1589.0
351,59,2019-05-05 12:20:39,1615.0
352,59,2019-05-05 12:21:13,1617.0
353,59,2019-05-05 12:24:06,1605.0
354,59,2019-05-05 12:25:45,1601.0
355,60,2019-05-05 13:03:28,1601.0
356,60,2019-05-05 13:04:02,1594.0
357,60,2019-05-05 13:19:36,1594.0
358,60,2019-05-05 13:28:06,1583.0
359,60,2019-05-05 13:43:46,1569.0
360,60,2019-05-05 13:45:00,1567.0
361,60,2019-05-05 13:55:22,1573.0
362,61,2019-05-05 14:09:19,1598.0
363,61,2019-05-05 14:22:14,1597.0
364,61,2019-05-05 14:28:27,1586.0
365,61,2019-05-05 14:32:51,1586.0
366,61,2019-05-05 14:33:17,1576.0
367,62,2019-05-05 14:56:25,1604.0
368,62,2019-05-05 15:09:10,1590.0
369,62,2019-05-05 15:16:21,1580.0
370,62,2019-05-05 15:30:00,1567.0
371,62,2019-05-05 15:37:03,1581.0
