,key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
0,1,60.059998,,,,,,,,
1,2,96.052315,,,,,,,,
2,3,91.160157,,,,,,,,
3,4,89.063515,,,,,,,,
4,5,89.238236,9.11456,,,,,,,
5,6,99.109917,9.11456,,,,,,,
6,7,98.0616,,,,,,,,
7,8,155.28239399999998,,,,,,,,
8,9,113.393279,9.143681,,,,,,,
9,10,81.24479600000001,12.376,,,,,,,
10,11,99.197281,,,,,,,,
11,12,153.57887300000002,,,,,,,,
12,13,77.26992,52.416003,,,,,,,
13,14,120.251038,37.826881,,,,,,,
14,15,71.285759,52.09568,,,,,,,
15,16,100.114563,43.097599,,,,,,,
16,17,110.204636,50.144638,,,,,,,
17,18,88.233596,32.148487,,,,,,,
18,19,113.218552,75.304322,,,,,,,
19,20,105.137756,72.27583999999999,,,,,,,
20,21,119.290081,98.367363,,,,,,,
21,22,144.755523,99.910721,250.041794,,,,,,
22,23,100.158234,114.907524,276.324066,,,,,,
23,24,101.730722,50.319363,,,,,,,
24,25,127.065117,64.588157,,,,,,,
25,26,170.13359100000002,,,,,,,,
26,27,118.24176,30.051842,,,,,,,
27,28,99.153595,,,,,,,,
28,29,120.119995,,,,,,,,
29,30,44.16048,23.03392,,,,,,,
30,31,96.13968,27.023361,,,,,,,
31,32,105.225121,,,,,,,,
32,33,210.275512,,,,,,,,
33,34,115.140472,,,,,,,,
34,35,130.079041,,,,,,,,
35,36,100.158234,,,,,,,,
36,37,86.486405,,,,,,,,
37,38,108.107996,,,,,,,,35.0532
38,39,135.18959,,,,,,,,
39,40,125.230553,,,,,,,,
40,43,96.096001,15.084160999999998,,,,,,,
41,44,69.18912300000001,,,,,,,,
42,45,114.354237,,,,,,,,
43,46,100.245593,,,,,,,,
44,47,33.10944,49.038082,,,,,,,
45,48,72.20304100000001,47.14528299999999,,,,,,,
46,49,39.312,,,,,,,,
47,50,43.243198,,,,,,,,
48,57,21.097441,,,,,,,,
49,58,73.207679,11.12384,,,,,,,
50,59,40.141922,,,,,,,,
51,60,35.162399,50.144638,,,,,,,
52,61,50.013599,70.062721,,,,,,,
53,62,97.100639,63.13216,,,,,,,
54,63,47.960640000000005,72.188484,,,,,,,
55,64,61.152001,64.15135699999999,,,,,,,
56,65,45.121441,26.12064,,,,,,,
57,66,156.680151,,,,,,,,
58,67,70.062721,,,,,,,,
59,68,90.155518,,,,,,,,
60,69,191.362092,9.085441,,,,,,,
61,70,90.024483,,,,,,,,
62,71,140.256469,,,,,,,,
63,72,71.853601,,,,,,,,
64,73,114.092163,,,,,,,,
65,74,117.28079200000002,,,,,,,,
66,75,114.266884,,,,,,,,
67,76,70.193763,,,,,,,,
68,77,110.292,45.135998,,,,,,,
69,78,86.26800099999998,35.060482,,,,,,,
70,79,50.013599,32.497921000000005,,,,,,,
71,80,23.1504,,,,,,,,
72,86,37.08432,,,,,,,,
73,87,54.993122,,,,,,,,
74,89,48.135361,12.17216,,,,,,,
75,90,72.552482,,,,,,,,
76,91,59.142724,53.173118,,,,,,,
77,92,12.97296,,,,,,,,
78,93,21.927359,,,,,,,,
79,94,37.215358,,,,,,,,
80,95,75.260643,23.1504,,,,,,,
81,96,69.145439,18.14176,,,,,,,
82,97,150.259201,,,,,,,,
83,98,102.123833,,,,,,,,
84,99,70.1064,,,,,,,,
85,100,90.199204,,,,,,,,
86,101,76.221604,,,,,,,,
87,102,110.160958,,,,,,,,
88,103,105.225121,28.1008,,,,,,,
