,key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
0,1,2019-05-03 11:11:41,,,,,,,,
1,2,2019-05-03 11:46:10,,,,,,,,
2,3,2019-05-03 12:13:47,,,,,,,,
3,4,2019-05-03 12:48:05,,,,,,,,
4,5,2019-05-03 13:18:15,2019-05-03 13:32:06,,,,,,,
5,6,2019-05-03 13:59:02,2019-05-03 13:59:54,,,,,,,
6,7,2019-05-03 14:28:46,,,,,,,,
7,8,2019-05-03 15:03:42,,,,,,,,
8,9,2019-05-03 15:42:43,2019-05-03 15:58:12,,,,,,,
9,10,2019-05-03 16:20:25,2019-05-03 16:21:02,,,,,,,
10,11,2019-05-03 17:15:01,,,,,,,,
11,12,2019-05-03 17:51:14,,,,,,,,
12,13,2019-05-03 18:52:04,2019-05-03 18:52:34,,,,,,,
13,14,2019-05-03 20:12:21,2019-05-03 20:13:16,,,,,,,
14,15,2019-05-03 21:07:40,2019-05-03 21:15:12,,,,,,,
15,16,2019-05-03 22:17:29,2019-05-03 22:18:30,,,,,,,
16,17,2019-05-03 22:52:33,2019-05-03 23:05:53,,,,,,,
17,18,2019-05-03 23:35:52,2019-05-03 23:37:11,,,,,,,
18,19,2019-05-04 00:53:30,2019-05-04 00:54:36,,,,,,,
19,20,2019-05-04 01:50:12,2019-05-04 01:51:13,,,,,,,
20,21,2019-05-04 03:46:19,2019-05-04 03:48:09,,,,,,,
21,22,2019-05-04 04:00:38,2019-05-04 04:31:27,2019-05-04 04:47:53,,,,,,
22,23,2019-05-04 05:18:03,2019-05-04 05:20:43,2019-05-04 05:40:08,,,,,,
23,24,2019-05-04 06:10:47,2019-05-04 06:45:47,,,,,,,
24,25,2019-05-04 06:36:11,2019-05-04 06:36:50,,,,,,,
25,26,2019-05-04 07:16:17,,,,,,,,
26,27,2019-05-04 07:55:27,2019-05-04 08:08:58,,,,,,,
27,28,2019-05-04 08:35:59,,,,,,,,
28,29,2019-05-04 09:08:09,,,,,,,,
29,30,2019-05-04 09:58:42,2019-05-04 09:59:37,,,,,,,
30,31,2019-05-04 10:29:51,2019-05-04 10:30:43,,,,,,,
31,32,2019-05-04 12:07:15,,,,,,,,
32,33,2019-05-04 12:46:40,,,,,,,,
33,34,2019-05-04 13:40:37,,,,,,,,
34,35,2019-05-04 14:11:01,,,,,,,,
35,36,2019-05-04 14:47:45,,,,,,,,
36,37,2019-05-04 15:22:37,,,,,,,,
37,38,2019-05-04 16:17:14,,,,,,,,2019-05-04 16:09:11
38,39,2019-05-04 16:54:23,,,,,,,,
39,40,2019-05-04 18:11:34,,,,,,,,
40,43,2019-05-04 20:32:51,2019-05-04 20:33:21,,,,,,,
41,44,2019-05-04 22:32:10,,,,,,,,
42,45,2019-05-04 23:16:52,,,,,,,,
43,46,2019-05-05 00:50:41,,,,,,,,
44,47,2019-05-05 01:23:53,2019-05-05 01:25:08,,,,,,,
45,48,2019-05-05 01:48:21,2019-05-05 01:49:21,,,,,,,
46,49,2019-05-05 04:03:38,,,,,,,,
47,50,2019-05-05 05:01:49,,,,,,,,
48,57,2019-05-05 10:24:06,,,,,,,,
49,58,2019-05-05 11:04:51,2019-05-05 11:05:36,,,,,,,
50,59,2019-05-05 12:02:48,,,,,,,,
51,60,2019-05-05 13:17:58,2019-05-05 13:19:39,,,,,,,
52,61,2019-05-05 14:20:21,2019-05-05 14:21:55,,,,,,,
53,62,2019-05-05 15:08:30,2019-05-05 15:09:31,,,,,,,
54,63,2019-05-05 16:00:53,2019-05-05 16:02:13,,,,,,,
55,64,2019-05-05 16:43:14,2019-05-05 16:44:30,,,,,,,
56,65,2019-05-05 18:36:45,2019-05-05 18:37:26,,,,,,,
57,66,2019-05-05 19:16:43,,,,,,,,
58,67,2019-05-05 19:52:31,,,,,,,,
59,68,2019-05-05 20:14:17,,,,,,,,
60,69,2019-05-05 20:34:57,2019-05-05 20:59:49,,,,,,,
